,id,bdate,bmonth,dandm
12590,632248,3,8,"3,8"
12591,632284,21,3,"21,3"
12592,632331,5,8,"5,8"
12593,632338,17,9,"17,9"
12594,632553,13,9,"13,9"
12595,632560,1,3,"1,3"
12596,632582,9,8,"9,8"
12597,632590,4,11,"4,11"
12598,632595,30,10,"30,10"
12599,632715,30,6,"30,6"
12600,632729,26,1,"26,1"
12601,632743,19,3,"19,3"
12602,632790,9,10,"9,10"
12603,632822,4,2,"4,2"
12604,632844,11,5,"11,5"
12605,633064,8,8,"8,8"
12606,633101,30,6,"30,6"
12607,633157,24,7,"24,7"
12608,633196,14,7,"14,7"
12609,633203,26,1,"26,1"
12610,633214,2,6,"2,6"
12611,633240,30,7,"30,7"
12612,633257,19,12,"19,12"
12613,633359,28,3,"28,3"
12614,633500,14,9,"14,9"
12615,633593,21,9,"21,9"
12616,633643,22,4,"22,4"
12617,633671,13,3,"13,3"
12618,633727,19,12,"19,12"
12619,633738,21,4,"21,4"
12620,633772,27,10,"27,10"
12621,633872,7,8,"7,8"
12622,633919,23,4,"23,4"
12623,633929,10,12,"10,12"
12624,633973,1,2,"1,2"
12625,634000,4,12,"4,12"
12626,634087,15,11,"15,11"
12627,634165,24,8,"24,8"
12628,634188,16,7,"16,7"
12629,634277,18,10,"18,10"
12630,634278,24,3,"24,3"
12631,634285,6,3,"6,3"
12632,634355,2,11,"2,11"
12633,634364,25,5,"25,5"
12634,634434,26,9,"26,9"
12635,634443,9,4,"9,4"
12636,634590,8,4,"8,4"
12637,634596,2,11,"2,11"
12638,634717,23,7,"23,7"
12639,634749,29,5,"29,5"
12640,634867,4,10,"4,10"
12641,635018,25,1,"25,1"
12642,635063,8,9,"8,9"
12643,635098,3,2,"3,2"
12644,635150,4,8,"4,8"
12645,635156,24,2,"24,2"
12646,635219,25,12,"25,12"
12647,635240,17,4,"17,4"
12648,635343,29,7,"29,7"
12649,635363,6,2,"6,2"
12650,635376,27,9,"27,9"
12651,635787,15,9,"15,9"
12652,635811,22,6,"22,6"
12653,635918,23,1,"23,1"
12654,635969,31,1,"31,1"
12655,636030,19,3,"19,3"
