Title,Price,Категория
Ванильный Шейк (станд.),99 ₽,Молочные коктейли
Клубничный Шейк (станд.),99 ₽,Молочные коктейли
Шоколадный Шейк (станд.),99 ₽,Молочные коктейли
Ванильный Латте (БОЛ.),129 ₽,Горячие напитки
Карамельный Латте (БОЛ.,129 ₽,Горячие напитки
Капучино (БОЛ.),119 ₽,Горячие напитки
Капучино (СТАНД.),99 ₽,Горячие напитки
Латте (БОЛ.),119 ₽,Горячие напитки
Латте (СТАНД.),99 ₽,Горячие напитки
Кофе (станд.),79 ₽,Горячие напитки
Ванильный Капучино (СТАНД.),109 ₽,Горячие напитки
Карамельный Капучино (СТАНД.),109 ₽,Горячие напитки
Пирожок Банан-Карамель,59 ₽,Десерты
Мороженое Сникерс с арахисом,149 ₽,Десерты
Ванильный Шейк (станд.),99 ₽,Десерты
Мороженое Твикс,149 ₽,Десерты
Клубничный Шейк (станд.),99 ₽,Десерты
Шоколадный Шейк (станд.),99 ₽,Десерты
Горячий брауни,149 ₽,Десерты
Пирожок с вишней,59 ₽,Десерты
ИГРУШКА,169 ₽,Десерты
ИГРУШКА,169 ₽,Десерты
Жевательная резинка Орбит сладкая мята,39 ₽,Джуниор Меню
Влажная салфетка,9 ₽,Дополнительно
