iter	Passed	Remaining
254	14108	96543
255	14144	96358
256	14180	96175
257	14231	96093
258	14302	96139
259	14362	96120
260	14420	96080
261	14476	96031
262	14535	96000
263	14595	95973
264	14653	95939
265	14705	95860
266	14745	95708
267	14781	95530
268	14824	95393
269	14861	95225
270	14899	95058
271	14936	94893
272	14973	94723
273	15013	94573
274	15047	94391
275	15081	94202
276	15120	94053
277	15160	93909
278	15196	93740
279	15253	93698
280	15287	93521
281	15322	93346
282	15364	93219
283	15399	93050
284	15439	92910
285	15478	92764
286	15518	92621
287	15558	92486
288	15599	92355
289	15639	92221
290	15679	92081
291	15726	91989
292	15761	91825
293	15806	91723
294	15842	91564
295	15888	91464
296	15927	91328
297	15973	91232
298	16012	91094
299	16058	90995
300	16095	90852
301	16141	90754
302	16176	90599
303	16213	90453
304	16249	90305
305	16285	90156
306	16334	90077
307	16368	89920
308	16407	89789
309	16443	89644
310	16480	89501
311	16517	89364
312	16554	89225
313	16592	89090
314	16640	89012
315	16678	88879
316	16716	88749
317	16752	88608
318	16803	88546
319	16844	88431
320	16882	88302
321	16920	88176
322	16973	88128
323	17008	87984
324	17050	87876
325	17094	87780
326	17130	87642
327	17169	87520
328	17210	87411
329	17248	87288
330	17286	87163
331	17325	87043
332	17367	86940
333	17416	86871
334	17457	86766
335	17494	86640
336	17534	86529
337	17573	86409
338	17613	86298
339	17649	86173
340	17687	86052
341	17733	85970
342	17778	85888
343	17821	85792
344	17859	85674
345	17896	85552
346	17949	85506
347	17988	85392
348	18025	85274
349	18064	85161
350	18101	85042
351	18136	84912
352	18172	84788
353	18229	84761
354	18268	84651
355	18308	84547
356	18346	84433
357	18383	84316
358	18419	84194
359	18457	84084
360	18509	84036
361	18545	83916
362	18584	83811
363	18621	83694
364	18655	83567
365	18691	83449
366	18730	83341
367	18767	83228
368	18808	83133
369	18845	83022
370	18881	82903
371	18914	82777
372	18953	82674
373	18988	82554
374	19027	82451
375	19062	82334
376	19101	82231
377	19141	82135
378	19178	82026
379	19214	81914
380	19249	81797
381	19284	81683
382	19319	81567
383	19356	81457
384	19391	81344
385	19424	81220
386	19460	81112
387	19497	81004
388	19540	80925
389	19582	80839
390	19616	80722
391	19654	80625
392	19695	80536
393	19735	80446
394	19780	80373
395	19823	80293
396	19862	80200
397	19903	80113
398	19943	80025
399	19986	79944
400	20027	79858
401	20067	79770
402	20109	79689
403	20159	79641
404	20211	79597
405	20254	79523
406	20292	79426
407	20327	79317
408	20373	79253
409	20420	79191
410	20468	79134
411	20510	79055
412	20545	78949
413	20586	78864
414	20629	78788
415	20665	78686
416	20702	78589
417	20742	78502
418	20789	78444
419	20832	78369
420	20871	78281
421	20909	78186
422	20948	78098
423	20990	78021
424	21036	77960
425	21087	77914
426	21128	77833
427	21169	77752
428	21204	77650
429	21241	77554
430	21280	77469
431	21322	77393
432	21359	77297
433	21398	77212
434	21441	77140
435	21497	77114
436	21538	77037
437	21589	76991
438	21630	76913
439	21670	76830
440	21708	76741
441	21751	76670
442	21794	76600
443	21836	76525
444	21882	76467
445	21926	76397
446	21969	76329
447	22009	76247
448	22086	76295
449	22138	76255
450	22182	76186
451	22229	76130
452	22270	76055
453	22309	75970
454	22350	75893
455	22389	75811
456	22430	75734
457	22467	75644
458	22503	75549
459	22539	75458
460	22580	75381
461	22621	75306
462	22660	75224
463	22697	75135
464	22734	75049
465	22772	74961
466	22809	74874
467	22846	74789
468	22884	74705
469	22921	74617
470	22960	74537
471	22997	74447
472	23039	74377
473	23084	74317
474	23134	74272
475	23176	74205
476	23217	74130
477	23255	74046
478	23290	73956
479	23331	73882
480	23371	73807
481	23411	73730
482	23464	73696
483	23523	73680
484	23606	73738
485	23671	73741
486	23719	73689
487	23760	73617
488	23806	73560
489	23849	73494
490	23892	73429
491	23942	73383
492	23985	73317
493	24024	73241
494	24069	73181
495	24113	73119
496	24157	73054
497	24205	73004
498	24260	72975
499	24299	72898
500	24338	72822
501	24377	72745
502	24414	72659
503	24449	72571
504	24488	72497
505	24527	72418
506	24566	72341
507	24605	72267
508	24645	72192
509	24684	72116
510	24739	72087
511	24780	72019
512	24817	71935
513	24857	71864
514	24892	71776
515	24925	71686
516	24963	71606
517	24999	71523
518	25032	71432
519	25068	71348
520	25103	71261
521	25138	71177
522	25172	71088
523	25207	71004
524	25244	70924
525	25280	70844
526	25316	70760
527	25351	70677
528	25388	70598
529	25423	70515
530	25459	70433
531	25497	70359
532	25537	70287
533	25579	70225
534	25614	70140
535	25654	70071
536	25689	69988
537	25726	69910
538	25765	69839
539	25803	69763
540	25843	69694
541	25877	69611
542	25920	69551
543	25963	69490
544	25998	69409
545	26038	69341
546	26078	69273
547	26116	69198
548	26150	69115
549	26185	69034
550	26224	68963
551	26263	68893
552	26304	68828
553	26340	68751
554	26374	68668
555	26410	68592
556	26448	68518
557	26482	68435
558	26517	68358
559	26554	68282
560	26590	68207
561	26626	68128
562	26667	68067
563	26708	68001
564	26749	67939
565	26785	67862
566	26820	67783
567	26857	67709
568	26891	67629
569	26925	67549
570	26960	67473
571	26997	67399
572	27034	67327
573	27071	67255
574	27107	67180
575	27147	67113
576	27184	67043
577	27220	66967
578	27257	66897
579	27294	66823
580	27330	66749
581	27367	66679
582	27405	66609
583	27441	66536
584	27479	66466
585	27516	66395
586	27552	66322
587	27589	66251
588	27626	66182
589	27662	66107
590	27702	66045
591	27740	65977
592	27777	65907
593	27814	65837
594	27853	65771
595	27891	65705
596	27934	65648
597	27976	65591
598	28016	65528
599	28054	65459
600	28092	65394
601	28129	65324
602	28167	65256
603	28203	65185
604	28241	65117
605	28279	65051
606	28316	64984
607	28353	64915
608	28388	64842
609	28426	64774
610	28462	64705
611	28500	64638
612	28536	64567
613	28573	64499
614	28609	64429
615	28646	64362
616	28685	64297
617	28720	64227
618	28759	64164
619	28797	64098
620	28833	64027
621	28870	63960
622	28909	63898
623	28950	63839
624	28990	63778
625	29027	63713
626	29066	63649
627	29104	63585
628	29143	63521
629	29179	63454
630	29216	63387
631	29255	63324
632	29293	63260
633	29328	63190
634	29363	63119
635	29401	63055
636	29436	62985
637	29471	62916
638	29505	62844
639	29539	62771
640	29575	62702
641	29612	62637
642	29649	62572
643	29685	62504
644	29718	62431
645	29758	62372
646	29794	62306
647	29830	62238
648	29869	62177
649	29903	62108
650	29940	62042
651	29980	61983
652	30014	61913
653	30054	61854
654	30088	61785
655	30124	61719
656	30159	61651
657	30194	61582
658	30231	61517
659	30267	61451
660	30305	61390
661	30344	61330
662	30384	61272
663	30421	61210
664	30457	61144
665	30497	61086
666	30535	61025
667	30583	60983
668	30628	60936
669	30672	60886
670	30714	60833
671	30752	60773
672	30788	60708
673	30825	60645
674	30865	60587
675	30905	60531
676	30944	60471
677	30991	60429
678	31033	60376
679	31070	60314
680	31108	60253
681	31146	60191
682	31184	60131
683	31226	60078
684	31281	60051
685	31352	60054
686	31410	60031
687	31460	59995
688	31507	59950
689	31561	59921
690	31602	59867
691	31642	59810
692	31679	59747
693	31715	59684
694	31755	59627
695	31792	59564
696	31830	59505
697	31875	59459
698	31927	59424
699	31974	59380
700	32019	59333
701	32068	59294
702	32108	59239
703	32149	59183
704	32189	59129
705	32230	59074
706	32271	59020
707	32312	58966
708	32351	58907
709	32388	58846
710	32426	58788
711	32513	58816
712	32580	58809
713	32630	58771
714	32674	58722
715	32720	58676
716	32766	58632
717	32808	58579
718	32855	58535
719	32907	58502
720	32958	58465
721	33002	58416
722	33043	58363
723	33092	58323
724	33129	58262
725	33168	58204
726	33207	58146
727	33259	58113
728	33328	58108
729	33396	58100
730	33465	58094
731	33532	58087
732	33577	58039
733	33649	58037
734	33720	58036
735	33788	58028
736	33835	57983
737	33880	57936
738	33917	57875
739	33952	57810
740	33990	57750
741	34030	57696
742	34072	57644
743	34112	57587
744	34166	57554
745	34235	57549
746	34311	57553
747	34383	57550
748	34433	57510
749	34471	57451
750	34512	57398
751	34547	57334
752	34588	57279
753	34626	57220
754	34672	57174
755	34720	57132
756	34758	57074
757	34848	57100
758	34916	57090
759	34958	57037
760	34998	56982
761	35040	56929
762	35082	56877
763	35142	56853
764	35191	56811
765	35236	56764
766	35285	56722
767	35342	56695
768	35417	56695
769	35463	56649
770	35510	56604
771	35552	56552
772	35597	56504
773	35642	56457
774	35700	56430
775	35762	56408
776	35851	56430
777	35901	56389
778	35951	56349
779	35992	56296
780	36035	56245
781	36074	56188
782	36113	56130
783	36150	56070
784	36186	56009
785	36230	55959
786	36275	55911
787	36333	55883
788	36389	55852
789	36433	55802
790	36470	55743
791	36511	55688
792	36550	55632
793	36592	55580
794	36631	55523
795	36675	55473
796	36723	55431
797	36771	55387
798	36809	55329
799	36849	55274
800	36894	55227
801	36935	55172
802	36985	55132
803	37046	55109
804	37105	55081
805	37159	55048
806	37208	55006
807	37264	54974
808	37315	54934
809	37363	54892
810	37409	54846
811	37463	54810
812	37508	54762
813	37554	54717
814	37599	54669
815	37653	54634
816	37699	54588
817	37754	54554
818	37802	54510
819	37848	54465
820	37895	54419
821	37931	54359
822	37972	54306
823	38018	54259
824	38060	54207
825	38100	54152
826	38138	54094
827	38175	54035
828	38212	53977
829	38250	53919
830	38290	53864
831	38327	53805
832	38364	53747
833	38403	53691
834	38438	53630
835	38476	53572
836	38514	53514
837	38556	53463
838	38601	53416
839	38640	53361
840	38679	53305
841	38716	53246
842	38752	53186
843	38790	53130
844	38827	53072
845	38866	53016
846	38906	52961
847	38944	52905
848	38983	52851
849	39022	52795
850	39061	52739
851	39099	52683
852	39141	52631
853	39190	52590
854	39231	52538
855	39275	52489
856	39316	52436
857	39354	52381
858	39391	52323
859	39428	52265
860	39466	52209
861	39521	52175
862	39561	52122
863	39605	52073
864	39685	52072
865	39753	52056
866	39822	52039
867	39894	52027
868	39967	52017
869	40029	51992
870	40093	51970
871	40157	51946
872	40232	51938
873	40298	51917
874	40366	51899
875	40419	51862
876	40478	51832
877	40532	51796
878	40588	51763
879	40650	51737
880	40702	51698
881	40755	51660
882	40808	51622
883	40854	51576
884	40901	51531
885	40958	51498
886	41012	51461
887	41071	51432
888	41121	51389
889	41177	51356
890	41220	51306
891	41266	51259
892	41308	51208
893	41347	51152
894	41394	51106
895	41442	51062
896	41496	51026
897	41561	51002
898	41636	50992
899	41718	50989
900	41789	50972
901	41857	50952
902	41922	50929
903	41970	50884
904	42025	50848
905	42087	50821
906	42143	50786
907	42196	50746
908	42248	50707
909	42292	50658
910	42333	50605
911	42382	50561
912	42422	50506
913	42463	50454
914	42503	50400
915	42546	50349
916	42591	50301
917	42632	50248
918	42679	50203
919	42731	50163
920	42795	50137
921	42845	50095
922	42892	50049
923	42938	50002
924	42984	49955
925	43024	49900
926	43064	49847
927	43103	49791
928	43173	49772
929	43219	49725
930	43278	49693
931	43376	49705
932	43441	49680
933	43502	49650
934	43565	49622
935	43608	49571
936	43652	49522
937	43704	49481
938	43749	49434
939	43799	49391
940	43852	49351
941	43901	49307
942	43958	49272
943	44011	49233
944	44053	49181
945	44097	49132
946	44139	49080
947	44182	49029
948	44223	48976
949	44269	48929
950	44315	48882
951	44363	48837
952	44410	48790
953	44459	48746
954	44523	48719
955	44600	48705
956	44673	48688
957	44720	48641
958	44770	48598
959	44819	48554
960	44859	48500
961	44896	48443
962	44934	48387
963	44971	48329
964	45016	48282
965	45059	48231
966	45111	48189
967	45160	48146
968	45219	48112
969	45281	48082
970	45329	48037
971	45392	48007
972	45455	47977
973	45505	47934
974	45551	47887
975	45599	47842
976	45652	47802
977	45707	47763
978	45757	47720
979	45802	47672
980	45853	47629
981	45898	47581
982	45973	47563
983	46052	47550
984	46108	47512
985	46157	47468
986	46204	47421
987	46251	47375
988	46304	47334
989	46395	47332
990	46484	47328
991	46575	47326
992	46633	47291
993	46697	47261
994	46776	47246
995	46828	47205
996	46893	47175
997	46955	47143
998	47015	47109
999	47079	47079
1000	47143	47049
1001	47190	47002
1002	47241	46958
1003	47304	46927
1004	47365	46894
1005	47440	46874
1006	47601	46940
1007	47688	46931
1008	47788	46935
1009	47863	46916
1010	47928	46885
1011	47998	46859
1012	48065	46832
1013	48122	46794
1014	48166	46742
1015	48209	46691
1016	48257	46643
1017	48296	46588
1018	48337	46535
1019	48389	46491
1020	48436	46443
1021	48482	46394
1022	48534	46352
1023	48580	46303
1024	48624	46252
1025	48672	46206
1026	48718	46156
1027	48765	46108
1028	48807	46056
1029	48848	46002
1030	48889	45949
1031	48937	45902
1032	48979	45850
1033	49019	45796
1034	49059	45741
1035	49104	45691
1036	49142	45635
1037	49184	45583
1038	49225	45530
1039	49265	45475
1040	49305	45421
1041	49346	45368
1042	49389	45317
1043	49430	45264
1044	49477	45216
1045	49518	45163
1046	49565	45115
1047	49604	45060
1048	49648	45010
1049	49688	44956
1050	49728	44902
1051	49771	44851
1052	49810	44796
1053	49855	44746
1054	49895	44693
1055	49935	44639
1056	49981	44590
1057	50032	44547
1058	50093	44511
1059	50133	44457
1060	50175	44406
1061	50215	44352
1062	50258	44301
1063	50303	44252
1064	50344	44199
1065	50387	44147
1066	50427	44094
1067	50466	44040
1068	50509	43989
1069	50548	43935
1070	50596	43888
1071	50650	43846
1072	50703	43804
1073	50748	43755
1074	50790	43703
1075	50831	43650
1076	50874	43599
1077	50920	43551
1078	50966	43503
1079	51017	43459
1080	51067	43414
1081	51113	43366
1082	51157	43315
1083	51200	43265
1084	51236	43209
1085	51280	43158
1086	51328	43112
1087	51377	43066
1088	51418	43014
1089	51460	42962
1090	51501	42910
1091	51541	42856
1092	51580	42802
1093	51624	42752
1094	51678	42711
1095	51726	42665
1096	51773	42617
1097	51814	42565
1098	51856	42514
1099	51904	42467
1100	51952	42421
1101	52005	42378
1102	52045	42325
1103	52084	42271
1104	52124	42218
1105	52167	42168
1106	52205	42113
1107	52243	42058
1108	52282	42004
1109	52324	41953
1110	52362	41899
1111	52407	41850
1112	52450	41800
1113	52489	41746
1114	52543	41704
1115	52594	41660
1116	52636	41610
1117	52678	41558
1118	52718	41505
1119	52762	41456
1120	52801	41402
1121	52838	41347
1122	52879	41295
1123	52918	41242
1124	52957	41188
1125	52996	41135
1126	53036	41083
1127	53072	41028
1128	53114	40976
1129	53155	40925
1130	53201	40877
1131	53248	40829
1132	53300	40786
1133	53343	40736
1134	53381	40682
1135	53421	40630
1136	53459	40576
1137	53497	40522
1138	53538	40471
1139	53579	40419
1140	53621	40369
1141	53681	40331
1142	53736	40290
1143	53779	40240
1144	53822	40190
1145	53868	40142
1146	53909	40091
1147	53960	40047
1148	54010	40002
1149	54057	39955
1150	54115	39916
1151	54172	39876
1152	54230	39837
1153	54274	39789
1154	54323	39742
1155	54367	39694
1156	54421	39652
1157	54479	39613
1158	54539	39574
1159	54590	39530
1160	54643	39488
1161	54706	39452
1162	54758	39409
1163	54827	39377
1164	54889	39341
1165	54947	39301
1166	54998	39257
1167	55052	39215
1168	55107	39174
1169	55165	39134
1170	55225	39096
1171	55290	39062
1172	55357	39028
1173	55415	38989
1174	55488	38959
1175	55555	38926
1176	55608	38883
1177	55681	38854
1178	55752	38823
1179	55848	38809
1180	55918	38778
1181	55988	38746
1182	56065	38719
1183	56129	38683
1184	56177	38636
1185	56222	38588
1186	56267	38539
1187	56332	38503
1188	56394	38466
1189	56447	38422
1190	56492	38373
1191	56536	38323
1192	56580	38273
1193	56624	38224
1194	56671	38176
1195	56711	38123
1196	56754	38073
1197	56802	38026
1198	56850	37979
1199	56900	37933
1200	56944	37883
1201	56985	37832
1202	57032	37784
1203	57075	37734
1204	57119	37684
1205	57161	37633
1206	57204	37583
1207	57249	37534
1208	57294	37485
1209	57336	37434
1210	57381	37385
1211	57426	37336
1212	57466	37284
1213	57511	37235
1214	57551	37183
1215	57597	37135
1216	57642	37086
1217	57683	37034
1218	57726	36984
1219	57769	36934
1220	57810	36882
1221	57849	36830
1222	57893	36781
1223	57935	36730
1224	57975	36678
1225	58033	36637
1226	58081	36590
1227	58125	36541
1228	58168	36491
1229	58209	36439
1230	58249	36387
1231	58291	36337
1232	58332	36286
1233	58375	36236
1234	58421	36188
